LG	n_windows	start	end
1	2	11788827.52	11967469.04
1	3	16433506.96	16790789.99
2	5	7273187.745	7862106.94
3	3	18289065.37	18654951.46
4	1	23319173.78	23319173.78
8	4	6393032.933	6884956.765
8	3	15575611.13	15903560.36
8	2	18035230.3	18199204.91
9	4	1049263.094	1521280.376
9	2	19457937.09	19615276.18
9	2	22290040.78	22447379.87
10	5	8645875.362	9251420.195
11	2	5589663.926	5768469.577
11	3	19357699.05	19715310.36
12	4	21704866.77	22215236.37
13	3	3793721.329	4109991.477
14	1	10351754.44	10351754.44
15	2	4770501.758	4936703.248
15	4	12914374.77	13412979.23
16	1	7148294.497	7148294.497
16	4	9880605.624	10466100.87
16	3	15540392.96	15930723.12
16	2	16516218.36	16711383.44
16	1	21395345.38	21395345.38
17	9	2495772.342	3408290.409
19	7	18340311.58	19112791.01
20	5	3076855.946	3681793.799
20	3	13209564.97	13512033.9
20	5	14268206.21	14873144.07
21	4	20254742.66	20640940.93
22	1	10876564.18	10876564.18
